index,bidder,value_wei,tx_hash,sent_at_ms,mined_at_ms,latency_ms,block,gas_used,effective_gas_price,cost_wei,status
37,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,33d565dc08288db9d9efe9d696f71a216de8fbaaef76c4da8440197b0ba84bf3,1778026488973.3328,1778026512381.8289,23408.49609375,10797978,63466,1000019,63467205854,success
38,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,014fa4910c4f6e8e68a3558ff6820e0a7758a0c6c260586ede9887766afbbb00,1778026512492.2048,1778026524602.1526,12109.94775390625,10797979,63466,1000019,63467205854,success
39,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,707ba638018ce4d249cec707972bcd371ddeeb5e018329bd3a24570cd34e4138,1778026524760.5273,1778026620371.1396,95610.6123046875,10797984,63466,1000020,63467269320,success
40,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,bde0d4187b383bc1688aeaba8ac2001471a0909fb5e099c5fe11fa465292cc12,1778026620481.7239,1778026644760.2974,24278.573486328125,10797986,63466,1000024,63467523184,success
41,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,f413b922d5bc354016488525e98786766baf24df5685983c1775491036f5fa09,1778026644926.5244,1778026656363.505,11436.98046875,10797987,63466,1000024,63467523184,success
42,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,17bb7366de6708b87b37105927b13d567b560fe0db0b1d00f4c73fff3c23c77b,1778026656520.9016,1778026668429.01,11908.1083984375,10797988,63466,1000024,63467523184,success
43,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,8843321251e2f4e1ad9d593c0b84151267cc62f47712e360f4a9e4ce27e1c549,1778026668572.6018,1778026692655.7185,24083.11669921875,10797990,63466,1000024,63467523184,success
44,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,bce99918a82ea132bf160cbb8f87036dee50b1176c35961d8c8e706abf526409,1778026692815.3523,1778026704487.8135,11672.461181640625,10797991,63466,1000025,63467586650,success
45,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,312affc1c4006fb962450577e42f83e3fcdc9cefed4e84af906c875dcbd15eab,1778026704663.8728,1778026716346.276,11682.403076171875,10797992,63466,1000026,63467650116,success
46,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,efa457b3edb8de73c8e3bc955d58ce1b3f821469329b97858d428483aadd3c9b,1778026716503.5303,1778026728418.8857,11915.35546875,10797993,63466,1000026,63467650116,success
47,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,a9403430fefea7d5ebd08f76a612a39b2f988a774be0626443a846c6269f794c,1778026728591.0122,1778026752561.7102,23970.697998046875,10797994,63466,1000025,63467586650,success
48,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,84cf2d8fde6c6defd434d3920a39bb87f407bcd62fc83534212289ebfff6c23f,1778026752719.7031,1778026765456.3591,12736.656005859375,10797995,63466,1000024,63467523184,success
49,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,9d0a6eb1f9b9f5900797b4e24e19da2985583c0d63328d3d95a0b70204b48f6b,1778026765599.5232,1778026776853.2388,11253.715576171875,10797996,63466,1000025,63467586650,success
50,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,7ce3a212548cc7d085f3ef299d1275e67fc4a1bdef03cefc4e41c6228fa9151d,1778026777014.3293,1778026788238.8054,11224.47607421875,10797997,63466,1000026,63467650116,success
51,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,fba7f431140fde267a60e37fd583f8c494af2fda38ebc3e5174cee19e3a0cd6e,1778026788382.6792,1778026800749.0159,12366.336669921875,10797998,63466,1000026,63467650116,success
52,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,b854b7d06a7eff3937dd3b6ed43b61b821828895e027b63f37ca8e2d39153bf2,1778026800896.4607,1778026813024.195,12127.734375,10797999,63466,1000026,63467650116,success
53,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,fefd9a24cda43009d73fd1dafe872714e2cf20f740b5cd9e5bd36157f2452a99,1778026813172.8865,1778026824308.495,11135.608642578125,10798000,63466,1000026,63467650116,success
